histaverage,regname,testyear
"129,92",Закарпатська область,2020
"130,34",Миколаївська область,2020
"131,00",Запорізька область,2020
"131,22",Одеська область,2020
"131,57",Донецька область,2020
"131,72",Херсонська область,2020
"131,93",Дніпропетровська область,2020
"132,05",Луганська область,2020
"132,50",Кіровоградська область,2020
"132,63",Житомирська область,2020
"133,16",Полтавська область,2020
"133,46",Чернівецька область,2020
"133,56",Вінницька область,2020
"133,78",Київська область,2020
"133,83",Черкаська область,2020
"134,76",Сумська область,2020
"134,80",Чернігівська область,2020
"135,20",Харківська область,2020
"135,29",Волинська область,2020
"135,57",Рівненська область,2020
"135,62",Хмельницька область,2020
"136,68",Івано-Франківська область,2020
"137,97",Тернопільська область,2020
"138,21",м.Київ,2020
"141,28",Львівська область,2020
